Comment,Designator,Footprint,LCSC
Am4,U1,am5 corrected,
C_Small,C1nF132,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF104,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF136,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF56,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF55,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF20,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF23,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF68,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF46,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF95,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF61,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF35,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF128,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF48,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF130,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF135,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF133,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF49,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF72,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF57,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF31,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF111,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF101,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF140,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF74,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF66,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF34,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF105,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF58,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF37,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF96,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF121,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF91,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF15,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF65,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF114,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF98,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF88,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF1,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF122,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF119,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF71,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF52,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF69,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF89,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF11,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF143,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
C_Small,C1nF13,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
