Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1nF1,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,164.50943,-81.972716,180.0,bottom
C1nF2,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,162.68443,-89.047716,180.0,bottom
C1nF3,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,187.75943,-91.172716,180.0,bottom
C1nF4,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,166.13443,-90.097716,180.0,bottom
C1nF5,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,189.94443,-77.342716,180.0,bottom
C1nF6,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,170.10943,-95.272716,-90.0,bottom
C1nF7,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,162.68443,-90.122716,180.0,bottom
C1nF8,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,167.25943,-68.932716,90.0,bottom
C1nF9,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,169.51943,-68.852716,90.0,bottom
C1nF10,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,170.57943,-68.862716,90.0,bottom
C1nF11,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,166.13443,-87.647716,180.0,bottom
C1nF12,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,178.10943,-96.897716,-90.0,bottom
C1nF13,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,171.23443,-95.272716,-90.0,bottom
C1nF14,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,164.50943,-90.097716,180.0,bottom
C1nF15,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,184.30943,-85.397716,180.0,bottom
C1nF16,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,187.75943,-86.522716,180.0,bottom
C1nF17,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,166.13443,-92.297716,180.0,bottom
C1nF18,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,168.37943,-68.862716,90.0,bottom
C1nF19,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,185.93443,-81.922716,180.0,bottom
C1nF20,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,187.73443,-88.997716,180.0,bottom
C1nF21,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,158.65943,-77.392716,180.0,bottom
C1nF22,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,183.83443,-95.272716,-90.0,bottom
C1nF23,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,179.18443,-96.897716,-90.0,bottom
C1nF24,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,187.75943,-84.347716,180.0,bottom
C1nF25,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,165.45943,-96.897716,-90.0,bottom
C1nF26,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,169.45943,-65.622716,90.0,bottom
C1nF27,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,160.33443,-75.197716,180.0,bottom
C1nF28,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,164.38443,-96.897716,-90.0,bottom
C1nF29,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,169.00943,-96.922716,-90.0,bottom
C1nF30,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,187.70943,-92.272716,180.0,bottom
C1nF31,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,166.15943,-67.297716,90.0,bottom
C1nF32,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,161.87943,-74.092716,180.0,bottom
C1nF33,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,187.78443,-85.397716,180.0,bottom
C1nF34,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,160.33443,-74.097716,180.0,bottom
C1nF35,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,167.20943,-65.580216,90.0,bottom
C1nF36,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,183.99943,-91.222716,180.0,bottom
C1nF37,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,164.38443,-95.272716,-90.0,bottom
C1nF38,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,172.33443,-96.922716,-90.0,bottom
C1nF39,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,166.13443,-81.972716,180.0,bottom
C1nF40,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,168.35943,-65.547716,90.0,bottom
C1nF41,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,181.45943,-96.997716,-90.0,bottom
C1nF42,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,184.30943,-68.872716,-90.0,bottom
C1nF43,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,183.20943,-68.922716,90.0,bottom
C1nF44,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,160.33443,-77.372716,180.0,bottom
C1nF45,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,189.98943,-76.232716,180.0,bottom
C1nF46,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,169.47943,-67.340216,90.0,bottom
C1nF47,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,158.63443,-76.297716,180.0,bottom
C1nF48,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,170.13443,-96.872716,-90.0,bottom
C1nF49,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,191.75693,-76.302716,180.0,bottom
C1nF50,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,164.50943,-86.572716,180.0,bottom
C1nF51,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,187.73443,-82.997716,180.0,bottom
C1nF52,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,165.43443,-95.272716,-90.0,bottom
C1nF53,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,185.90943,-87.622716,180.0,bottom
C1nF54,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,182.15943,-68.872716,-90.0,bottom
C1nF55,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,188.45943,-77.372716,180.0,bottom
C1nF56,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,166.13443,-84.372716,180.0,bottom
C1nF57,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,162.65943,-85.422716,180.0,bottom
C1nF58,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,161.82193,-75.172716,180.0,bottom
C1nF59,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,162.70943,-92.297716,180.0,bottom
C1nF60,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,179.95943,-67.247716,-90.0,bottom
C1nF61,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,162.68443,-83.072716,180.0,bottom
C1nF62,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,162.70943,-87.647716,180.0,bottom
C1nF63,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,184.28443,-83.022716,180.0,bottom
C1nF64,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,183.98443,-90.122716,180.0,bottom
C1nF65,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,184.30943,-65.522716,-90.0,bottom
C1nF66,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,185.76943,-89.022716,180.0,bottom
C1nF67,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,166.15943,-65.605216,90.0,bottom
C1nF68,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,181.03443,-67.247716,-90.0,bottom
C1nF69,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,168.34943,-67.302716,90.0,bottom
C1nF70,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,161.71693,-72.992716,180.0,bottom
C1nF71,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,191.70193,-75.222716,180.0,bottom
C1nF72,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,167.65943,-96.897716,-90.0,bottom
C1nF73,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,181.00943,-68.872716,-90.0,bottom
C1nF74,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,186.03443,-95.297716,-90.0,bottom
C1nF75,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,185.93443,-86.497716,180.0,bottom
C1nF76,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,188.45943,-72.997716,180.0,bottom
C1nF77,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,169.05943,-95.247716,-90.0,bottom
C1nF78,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,166.53443,-96.872716,-90.0,bottom
C1nF79,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,158.65943,-74.097716,180.0,bottom
C1nF80,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,166.15943,-83.047716,180.0,bottom
C1nF81,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,158.63443,-75.202716,180.0,bottom
C1nF82,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,162.68443,-91.222716,180.0,bottom
C1nF83,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,166.13443,-86.547716,180.0,bottom
C1nF84,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,185.90943,-84.347716,180.0,bottom
C1nF85,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,187.73443,-81.922716,180.0,bottom
C1nF86,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,182.75943,-95.297716,-90.0,bottom
C1nF87,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,183.20943,-65.622716,90.0,bottom
C1nF88,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,162.68443,-81.972716,180.0,bottom
C1nF89,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,182.73443,-96.997716,-90.0,bottom
C1nF90,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,184.30943,-86.522716,180.0,bottom
C1nF91,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,191.70943,-74.097716,180.0,bottom
C1nF92,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,179.93443,-68.872716,-90.0,bottom
C1nF93,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,185.93443,-83.022716,180.0,bottom
C1nF94,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,161.85943,-78.462716,180.0,bottom
C1nF95,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,189.92943,-75.142716,180.0,bottom
C1nF96,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,166.13443,-89.047716,180.0,bottom
C1nF97,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,185.84193,-91.222716,180.0,bottom
C1nF98,C_Small,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,164.50943,-91.197716,180.0,bottom
